Datum,Winkelnaam,Emailadres,Contactpersoon,Niche,Status
2026-03-21,BYLOTTE,info@bylotte.nl,Lotte Drijvers,Luxe / premium,Klaargesteld
2026-03-21,Blijdesteijn,info@blijdesteijn.nl,Anne van Blijdesteijn,Luxe / premium,Klaargesteld
2026-03-21,Symfony Mode,info@symfonymode.nl,Symfony Mode,Luxe / premium,Klaargesteld
2026-03-21,Delscher,info@delscher.nl,Marieke Delst,Luxe / premium,Klaargesteld
2026-03-21,Cramers van Asten,info@cramersvanasten.nl,Cramers van Asten,Luxe / premium,Klaargesteld
2026-03-21,JUSS7 Sportswear,info@juss7.com,JUSS7,Sportieve mode,Klaargesteld
2026-03-21,Yogakledingonline,contact@yogini.nl,Yogakledingonline,Sportieve mode,Klaargesteld
2026-03-21,Athlete Activewear,info@athlete-activewear.com,Athlete Activewear,Sportieve mode,Klaargesteld
2026-03-21,REVIVE Sportswear,info@revive-wear.com,Sam Jonk,Sportieve mode,Klaargesteld
2026-03-21,Urban Goddess,info@urban-goddess.com,Marlene Smits,Sportieve mode,Klaargesteld
2026-03-21,Boetiek Aniek,info@boetiekaniek.nl,Aniek,Normale mode,Klaargesteld
2026-03-21,Botique Fashion,webshop@botique-fashion.nl,Bo,Normale mode,Klaargesteld
2026-03-21,LOAVIES,info@loavies.com,Anna Meilink,Normale mode,Klaargesteld
2026-03-21,Boetiek 115,info@boetiek115.nl,Boetiek 115,Normale mode,Klaargesteld
2026-03-21,MIDI Boutique,info@midiboutique.nl,MIDI Boutique,Normale mode,Klaargesteld
2026-03-21,Boetiek Kijan,info@boetiek-kijan.nl,"Kirsti en Jannet",Plus-size mode,Klaargesteld
2026-03-21,Bagoes,info@bagoes.nl,Bagoes,Plus-size mode,Klaargesteld
2026-03-21,Maatjemeer,klantenservice@maatjemeer.nl,Ruud van Doorn,Plus-size mode,Klaargesteld
2026-03-21,Only Diva's,info@onlydivasamsterdam.nl,Only Diva's,Plus-size mode,Klaargesteld
2026-03-21,Yoek,fashionadvisor@yoek.com,Michiel van Kempen,Plus-size mode,Klaargesteld
2026-03-21,Natur-el,info@natur-el.nl,Vera,Duurzame mode,Klaargesteld
2026-03-21,WhatTheF,info@whatthef.nl,WhatTheF,Duurzame mode,Klaargesteld
2026-03-21,The Blind Spot,info@theblindspot.nl,The Blind Spot,Duurzame mode,Klaargesteld
2026-03-21,MOYZO,info@moyzo.eu,MOYZO,Duurzame mode,Klaargesteld
2026-03-21,Sophie Stone,info@sophiestone.nl,Sophie Stone,Duurzame mode,Klaargesteld
2026-03-21,Shop Like You Give a Damn,info@shoplikeyougiveadamn.nl,Shop Like You Give a Damn,Duurzame mode,Klaargesteld
2026-03-21,KOKOTOKO,happyday@kokotoko.nl,Amber,Duurzame mode,Klaargesteld
2026-03-21,DutchCraft,info@dutchcraftfashion.nl,DutchCraft,Duurzame mode,Klaargesteld
2026-03-21,Wolf & Storm,info@wolfandstorm.com,Wolf & Storm,Duurzame mode,Klaargesteld
2026-03-21,Kings of Indigo,info@kingsofindigo.com,Kings of Indigo,Duurzame mode,Klaargesteld
2026-03-21,Secondhandnew,info@secondhandnew.nl,Secondhandnew,Vintage / secondhand,Klaargesteld
2026-03-21,Verhip-Vintage,info@verhip-vintage.nl,Carolijne,Vintage / secondhand,Klaargesteld
2026-03-21,Think Twice Vintage,info@thinktwicevintage.nl,Think Twice,Vintage / secondhand,Klaargesteld
2026-03-21,Secondhand Rose,info@secondhandrose.nl,Secondhand Rose,Vintage / secondhand,Klaargesteld
2026-03-21,L'Etoile Luxury Vintage,info@etoile-luxuryvintage.com,L'Etoile,Vintage / secondhand,Klaargesteld
2026-03-21,Babyvilla,info@babyvilla.nl,Babyvilla,Kindermode,Klaargesteld
2026-03-21,Bee Cute,info@bee-cute.nl,Bee Cute,Kindermode,Klaargesteld
2026-03-21,Koetjeboetiek,info@koetjeboetiek.nl,Koetjeboetiek,Kindermode,Klaargesteld
2026-03-21,Tokkelientje,info@tokkelientje.nl,Tokkelientje,Kindermode,Klaargesteld
2026-03-21,Boutique Rose,info@boutiquerose.nl,Boutique Rose,Kindermode,Klaargesteld
2026-03-21,Koko Noko,info@koko-noko.com,Koko Noko,Kindermode,Klaargesteld
2026-03-21,Kids Department,info@kidsdepartment.nl,Kids Department,Kindermode,Klaargesteld
2026-03-21,Ko&Flo,info@koflo.nl,Ko&Flo,Kindermode,Klaargesteld
2026-03-21,Schattige Babykleertjes,info@schattigebabykleertjes.nl,Schattige Babykleertjes,Kindermode,Klaargesteld
2026-03-21,Kinderkledingshoppen,info@kinderkledingshoppen.nl,Kinderkledingshoppen,Kindermode,Klaargesteld
2026-03-21,Something Blue Bruidsmode,info@somethingbluebruidsmode.nl,Something Blue Bruidsmode,Bruidsmode,Klaargesteld
2026-03-21,Engels Bruidsmode,info@engelsbruidsmode.nl,Julie,Bruidsmode,Klaargesteld
2026-03-21,Elements Bridal by Marian,info@elementsbridal.nl,Marian,Bruidsmode,Klaargesteld
2026-03-21,Bruidsboutique La Romance,info@la-romance.nl,Anneke,Bruidsmode,Klaargesteld
2026-03-21,Nikita Bruidsmode,nikitabruidsmode.nl@gmail.com,Miranda,Bruidsmode,Klaargesteld
2026-03-21,Tessa Koops,info@tessakoops.com,Tessa,Nederlandse designers,Klaargesteld
2026-03-21,Studio Anneloes,webshop@studioanneloes.nl,Anneloes,Nederlandse designers,Klaargesteld
2026-03-21,Dutchess,info@dutch-ess.com,Gwen,Nederlandse designers,Klaargesteld
2026-03-21,Bonne Suits,info@bonnelife.com,Bonne,Nederlandse designers,Klaargesteld
2026-03-21,Beaumont Amsterdam,support@beaumont.eu,Beaumont Amsterdam,Nederlandse designers,Klaargesteld
2026-03-21,Schulte Herenmode,klantenservice@schulteherenmode.nl,Schulte Herenmode,Herenmode,Klaargesteld
2026-03-21,Zeli Herenmode,info@zeliherenmode.nl,Zeli Herenmode,Herenmode,Klaargesteld
2026-03-21,Yugo Menswear,support@yugomenswear.com,Yugo Menswear,Herenmode,Klaargesteld
2026-03-21,GENTS.nl,info@gents.nl,Floris,Herenmode,Klaargesteld
2026-03-21,Suitable,klantenservice@suitable.nl,Raoul,Herenmode,Klaargesteld
2026-03-21,Honneloeloe,info@honneloeloe.nl,Honneloeloe,Gelegenheidskleding,Klaargesteld
2026-03-21,Larobe Dresses,info@larobedresses.com,Larobe Dresses,Gelegenheidskleding,Klaargesteld
2026-03-21,Robin Uitgaansmode,info@galajurk.nl,Robin Uitgaansmode,Gelegenheidskleding,Klaargesteld
2026-03-21,Topjurken.nl,info@topjurken.nl,Topjurken,Gelegenheidskleding,Klaargesteld
2026-03-21,Rinsma Modeplein,info@rinsmamodeplein.nl,Henk-Jan,Gelegenheidskleding,Klaargesteld
2026-03-21,Galajurken-Outlet,info@galajurken-outlet.nl,Galajurken-Outlet,Gelegenheidskleding,Klaargesteld
2026-03-21,Dreamdresses,info@dreamdresses.nl,Dreamdresses,Gelegenheidskleding,Klaargesteld
2026-03-21,Opaack,info@opaack.nl,Opaack,Gelegenheidskleding,Klaargesteld
2026-03-21,Masu Galajurken,masu-reclame@hotmail.com,Marianne,Gelegenheidskleding,Klaargesteld
2026-03-21,De Galazaak,info@degalazaak.nl,De Galazaak,Gelegenheidskleding,Klaargesteld
2026-03-21,Patta,info@patta.nl,Patta,Streetwear / urban,Klaargesteld
2026-03-21,Funkie House,webshop@funkiehouse.nl,Funkie House,Streetwear / urban,Klaargesteld
2026-03-21,Reloadstore,info@reloadstore.nl,Reloadstore,Streetwear / urban,Klaargesteld
2026-03-21,Straatwaar,info@straatwaar.nl,Simon,Streetwear / urban,Klaargesteld
2026-03-21,Daily Paper,info@dailypaperclothing.com,Daily Paper,Streetwear / urban,Klaargesteld
2026-03-21,Delft Denim,bas@delftdenim.com,Bas Visser,Web (persoonlijk - gegist),Denim / Jeans,Klaargesteld
2026-03-21,De Rode Winkel,info@derodewinkel.nl,Tom Broekman,Web (generiek),Denim / Jeans,Klaargesteld
2026-03-21,Het Broekenhuis,info@hetbroekenhuis.nl,Onbekend,Web (generiek),Denim / Jeans,Klaargesteld
2026-03-21,Versteegh Jeans,info@versteeghjeansonline.nl,Onbekend,Web (generiek),Denim / Jeans,Klaargesteld
2026-03-21,Jeans Inn,info@jeansinn.nl,André Schout,Web (generiek),Denim / Jeans,Klaargesteld
2026-03-23,FOUR Amsterdam,jordi@fouramsterdam.com,Jordi Chris,LinkedIn (ingeschat),Premium streetwear,Klaargesteld
2026-03-23,FLÂNEUR,regi@flaneur.eu,Regi Schalks,LinkedIn (ingeschat),Luxe menswear,Klaargesteld
2026-03-23,ICON. AMSTERDAM,samuel@icon-amsterdam.com,Samuel Onuha,LinkedIn (bevestigd),Streetwear / urban,Klaargesteld
2026-03-23,Mason Garments,soufyan@masongarments.com,Soufyan el Hammouti,LinkedIn (ingeschat),Premium sneakers,Klaargesteld
2026-03-23,Cars Jeans,shiva@carsjeans.nl,Shiva Raciti,LinkedIn (ingeschat),Denim / Jeans,Klaargesteld
2026-03-23,Cars Jeans,monique@carsjeans.nl,Monique Bruin,LinkedIn (ingeschat),Denim / Jeans,Klaargesteld
2026-03-23,Tumble 'N Dry,malou@tumblendry.com,Malou Maarschalk,LinkedIn (ingeschat),Kindermode,Klaargesteld
2026-03-23,Tumble 'N Dry,natascha@tumblendry.com,Natascha Vlaar,LinkedIn (ingeschat),Kindermode,Klaargesteld
2026-03-23,NAN,nanda@nan.nl,Nanda Schilperoort,Web (ingeschat),Officewear / zakelijke mode,Klaargesteld
2026-03-23,Olivia & Kate,janina@oliviakate.nl,Janina,Web (ingeschat),Officewear / zakelijke mode,Klaargesteld
2026-03-23,Stretchshop,bonito@stretchshop.nl,Bonito Hage,Web (ingeschat),Officewear / zakelijke mode,Klaargesteld
2026-03-23,Ydence,lara@ydence.com,Lara de Graaf,Web (ingeschat),Officewear / zakelijke mode,Klaargesteld
2026-03-23,Mart Visser,mart@martvisser.nl,Mart Visser,Web (ingeschat),Officewear / zakelijke mode,Klaargesteld
